"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.275676596812895,0.163463098051652,0.163463273437459,0,0.160277350599221,2.2270194386728,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0116522048335502,0.170265037087198,0.169511915341647,0.0738764022034969,0.171168994548766,2.08531209933437,83.1756066173241,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.29043367351234,0.155510268105457,0.154018677759101,0.10343774651948,0.16081750112369,2.2195393714575,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000578854844505095,0.170731652886583,0.169841876839892,0.118483945031288,0.171265147914704,2.0841413428797,83.1343498291878,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.298144300019354,0.162542700003505,0.161528038038472,0.101153655642752,0.160778208367132,2.22008180703432,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.34161874844422e-05,0.171521493364119,0.16788766622278,0.0870873177041634,0.17054919176304,2.09289045391299,83.4410915930785,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.121787993544609,0.183148155243386,0.179938571380552,0.278355588907099,0.161340822713177,2.21234012174335,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00290184479072072,0.159137502381967,0.158111755441018,0.111089238872856,0.170870742438587,2.08895197778948,83.3034587848516,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.470612561333084,0.153129478801234,0.152235935065399,0.0690536238427186,0.161380320681798,2.21179864964601,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0040368824641179,0.151984610620863,0.151333337171318,0.0745275960049985,0.170776822408079,2.09010081303958,83.3436816407335,200,0.402899169921875
