"k_max","n_per","sd_n_per","p_trt","scenario","Delta.est","Delta.mean","Delta.sd.scale","gamma","icc_y","icc_x","mu_x","sigma_x_sq","sigma_eps_sq","p_value_ci","p_value_pi","p_value_truedelta","p_value_ci_residuals","p_value_pi_residuals","p_value_truedelta_residuals","p_value_z_score","p_val_sw_cor","p_value_lr_test","time","R"
20,50,0,0.5,1,0.935954871880395,1,1,1e-04,0.1,0.01,0,1,0.1,0.117864471057884,0.0779443113772455,0.0858283433133733,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.0243297575681742,0.0245497397613269,0.0239597440226398,6.72535593509674,500
20,50,0,0.5,2,1.024968079206,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00608802395209581,0.00209600798403194,0.00199600798403194,0,1.01560622062793e-44,1.03127869748191e-44,6.72535593509674,500
20,50,0,0.5,3,1.04595952348913,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00608802395209581,0.00409201596806387,0.00199600798403194,0.808748092812179,0.808798234584307,0.810746045264249,6.72535593509674,500
20,50,0,0.5,4,2.20918928949046,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.741945525315489,0.742014755180517,0.743174689974164,6.72535593509674,500
20,50,0,0.5,1,0.968251516825656,1,1,1e-04,0.1,0.01,0,1,0.1,0.221656886227545,0.189720758483034,0.187624750499002,0.00409201596806387,0.00209600798403194,0.00199600798403194,0.748324069570028,0.748391728811089,0.740785576510001,6.72535593509674,500
20,50,0,0.5,2,0.917431157226035,1,1,1e-04,0.1,0.01,0,1,0.1,0.0120760479041916,0.00808403193612774,0.00399201596806387,0.0140720558882236,0.00409201596806387,0.00598802395209581,0,3.05488872618438e-47,2.06575651904363e-47,6.72535593509674,500
20,50,0,0.5,3,1.06638404813494,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.0120760479041916,0.00209600798403194,0.00199600798403194,0.17821082433978,0.178520401666727,0.177080967065587,6.72535593509674,500
20,50,0,0.5,4,2.18822980827115,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00209600798403194,0.00209600798403194,0.00199600798403194,4.53671351152707e-07,5.39175759154503e-07,5.06183130295097e-07,6.72535593509674,500
20,50,0,0.5,1,1.03545099304959,1,1,1e-04,0.1,0.01,0,1,0.1,0.507086027944112,0.449201796407186,0.48502994011976,0.00608802395209581,0.00209600798403194,0.00199600798403194,0.430871741717822,0.431061483471949,0.436929473095423,6.72535593509674,500
20,50,0,0.5,2,1.0092957782661,1,1,1e-04,0.1,0.01,0,1,0.1,0.00209600798403194,0.00209600798403194,0.00199600798403194,0.00808403193612774,0.00409201596806387,0.00399201596806387,0,5.27266092075901e-47,3.01162077806335e-47,6.72535593509674,500
